Mes_N;Total de Vul. Ativas;Critical_N;High_N;Medium_N;Low_N;Corrig_Mes;Corr_Critical_N;Corr_High_N;Corr_Medium_N;Corr_Low_N;Mes_Z;Total de Vul. Ativas_Abertas_Z;Total de Vul._Corr_Z;Corr_Critical_Z;Corr_High_Z;Corr_Medium_Z;Corr_Low_Z;Information
Setembro;4143;752;1527;1706;158;656;128;143;378;7;Setembro;3197;7168;39;423;1200;715;820
Outubro;4346;788;1589;1743;226;297;162;114;21;;Outubro;1365;10741;32;212;635;250;236
Novembro;4289;974;1410;1699;206;713;202;259;232;20;Novembro;1558;10929;16;256;746;231;309
Dezembro;4398;1039;1407;1742;210;265;121;89;51;4;Dezembro;1635;11235;31;249;711;345;299
Janeiro;5151;1155;1459;2324;213;330;105;92;132;1;Janeiro;1611;12463;32;213;725;321;320
Fevereiro;4809;1087;1392;2146;184;316;126;111;77;2;Fevereiro;1852;13279;30;205;920;352;345
Marco;4492;976;1281;2059;176;354;125;100;125;4;Marco;2198;14304;40;243;978;379;558
Abril;4133;924;1288;1755;166;525;106;62;341;16;Abril;2349;14929;18;275;973;369;714
Maio;4263;968;1283;1837;175;156;60;53;43;;;null;null;null;null;null;null;null
Junho;4144;930;1299;1760;155;609;208;172;210;19;;null;null;null;null;null;null;null
Julho;4403;970;1360;1894;179;170;51;62;53;4;;null;null;null;null;null;null;null
